n,time
22,5.356228590011597
36,86.65723824501038
43,291.2484567165375
41,218.192364692688
50,853.2328472137451
28,18.538721561431885
37,102.6807656288147
32,41.18856167793274
18,2.0594451427459717
45,389.93838357925415
27,15.432021856307983
38,121.94587206840515
7,0.06493949890136719
47,542.0818734169006
3,0.015623092651367188
2,0.009906530380249023
9,0.13231420516967773
48,635.5347473621368
40,178.89467906951904
14,0.6845448017120361
49,732.2266736030579
10,0.1878654956817627
13,0.4965548515319824
23,6.511799573898315
19,2.649954080581665
25,10.15694546699524
24,8.135010242462158
31,33.84843111038208
17,1.5547118186950684
20,3.2896738052368164
11,0.2604248523712158
26,12.376538515090942
42,239.00546169281006
12,0.3638579845428467
15,0.8941493034362793
39,143.9525785446167
4,0.021027088165283203
5,0.02842235565185547
8,0.0894622802734375
6,0.042199134826660156
1,0.008302927017211914
34,59.62061786651611
30,29.04811143875122
16,2.146670341491699
33,54.96638798713684
35,72.1747498512268
46,479.1893939971924
29,22.91153860092163
44,331.02737188339233
21,4.134799242019653
